2051	66.04480000000001
2052	69.92645161290321
2053	92.84838709677419
2054	70.75096774193547
2055	123.96838709677422
2056	110.90968750000002
2057	117.17419354838711
2058	113.73548387096771
2059	65.01783870967742
2060	92.61
2061	34.16538709677419
2062	83.78400000000002
2063	40.96503225806451
2064	90.87509677419357
2065	66.95766666666667
2066	68.33729032258063
2067	74.59745161290323
2068	70.30064838709679
2069	65.4752258064516
2070	76.75519354838708
2071	59.781000000000006
2072	58.640032258064515
2073	44.6355806451613
2074	57.67132258064515
2075	64.62596774193547
2076	63.79925806451613
2077	81.70658064516132
2078	104.51203225806452
2079	54.419387096774194
